HCCL Batting Rankings,,,,,,,,,HCCL Bowling Rankings,,,,,,,,,HCCL All-Rounder Rankings,,,,,,,
Rank,Movement,Player,Team,Rating,Previous Rating,Rating Change,Status,,Rank,Movement,Player,Team,Rating,Previous Rating,Rating Change,Status,,Rank,Movement,Player,Team,Rating,Previous Rating,Rating Change,Status
1,,Hasitha Lakmal,DRAGONS,792,,,Official,,1,,Udara Perera,TEARZ,778,,,Official,,1,,Sasindu Madushan,MATRIX,706,,,Official
2,,Sasindu Madushan,MATRIX,749,,,Official,,2,,Sasindu Madushan,MATRIX,665,,,Official,,2,,Udara Perera,TEARZ,689,,,Official
3,,Yasitha Nawod,TITANS,728,,,Official,,3,,Chathuka Lakshan,TEARZ,625,,,Official,,3,,Chathuka Lakshan,TEARZ,670,,,Official
4,,Chathuka Lakshan,TEARZ,718,,,Official,,4,,Yasitha Nawod,TITANS,590,,,Official,,4,,Yasitha Nawod,TITANS,655,,,Official
5,,Binura Yeshan,GAMERS,657,,,Official,,5,,Yathish Leyon,TITANS,589,,,Official,,5,,Thenu Pabeesha,LORDS,596,,,Official
6,,Thenu Pabeesha,LORDS,649,,,Official,,6,,Wenura Sandeepa,LORDS,583,,,Official,,6,,Yathish Leyon,TITANS,591,,,Official
7,,Kanishka Supun,REAPERS,639,,,Official,,7,,Kaushila Chamika,REAPERS,567,,,Official,,7,,Wenura Sandeepa,LORDS,580,,,Official
8,,Kasun de Silva,AURA,628,,,Official,,8,,Kalana Thenuja,LORDS,560,,,Official,,8,,Kalana Thenuja,LORDS,570,,,Official
9,,Udara Perera,TEARZ,610,,,Official,,9,,Pasindu Dilshan,MATRIX,554,,,Official,,9,,Pasindu Dilshan,MATRIX,567,,,Official
10,,Yathish Leyon,TITANS,593,,,Official,,10,,Thenu Pabeesha,LORDS,547,,,Official,,10,,Sasiru Ranasinghe,TITANS,566,,,Official
11,,Sasiru Ranasinghe,TITANS,588,,,Official,,11,,Sasiru Ranasinghe,TITANS,546,,,Official,,11,,Kasun de Silva,AURA,564,,,Official
12,,Sameera Gimhan,GAMERS,584,,,Official,,12,,Rasindu Rathnayake,GAMERS,533,,,Official,,12,,Rasindu Rathnayake,GAMERS,537,,,Official
13,,Pasindu Dilshan,MATRIX,581,,,Official,,13,,Poorna Kavishka,GAMERS,514,,,Official,,13,,Hasitha Lakmal,DRAGONS,528,,,Official
14,,Kalana Thenuja,LORDS,580,,,Official,,14,,Umesh Anjana,REAPERS,509,,,Official,,14,,Poorna Kavishka,GAMERS,525,,,Official
15,,Wenura Sandeepa,LORDS,577,,,Official,,15,,Kasun de Silva,AURA,507,,,Official,,15,,Kanishka Supun,REAPERS,524,,,Official
16,,Nehan Fernando,AURA,560,,,Official,,16,,Chamindu Tishan,DRAGONS,501,,,Official,,16,,Kaushila Chamika,REAPERS,520,,,Official
17,,Nimsara Pramod,AURA,554,,,Official,,17,,Nehan Fernando,AURA,459,,,Official,,17,,Nehan Fernando,AURA,507,,,Official
18,,Milindu Wijenayake,TEARZ,549,,,Official,,18,,Sameera Gimhan,GAMERS,433,,,Official,,18,,Chamindu Tishan,DRAGONS,503,,,Official
19,,Nisitha Gihan,MATRIX,548,,,Official,,19,,Kanishka Supun,REAPERS,430,,,Official,,19,,Sameera Gimhan,GAMERS,503,,,Official
20,,Rasindu Rathnayake,GAMERS,540,,,Official,,20,,Shenal Theekshana,AURA,421,,,Official,,20,,Nimsara Pramod,AURA,482,,,Official
21,,Poorna Kavishka,GAMERS,537,,,Official,,21,,Nimsara Pramod,AURA,419,,,Official,,21,,Binura Yeshan,GAMERS,475,,,Official
22,,Rashen Vihanga,DRAGONS,529,,,Official,,22,,Razmika,AURA,393,,,Official,,22,,Umesh Anjana,REAPERS,469,,,Official
23,,Chamindu Tishan,DRAGONS,506,,,Official,,23,,Sandun Chinthana,MATRIX,382,,,Official,,23,,Nisitha Gihan,MATRIX,446,,,Official
24,,Sadaru Nimsara,DRAGONS,491,,,Official,,24,,Nimesh Dimalsha,LORDS,381,,,Official,,24,,Shenal Theekshana,AURA,444,,,Official
25,,Kaushila Chamika,REAPERS,476,,,Official,,25,,Sasindu Ashen,REAPERS,368,,,Official,,25,,Milindu Wijenayake,TEARZ,417,,,Official
26,,Shenal Theekshana,AURA,468,,,Official,,26,,Vimukthi,LORDS,363,,,Official,,26,,Sandun Chinthana,MATRIX,415,,,Official
27,,Thulanja Theekshana,DRAGONS,466,,,Official,,27,,Thulanja Theekshana,DRAGONS,362,,,Official,,27,,Thulanja Theekshana,DRAGONS,411,,,Official
28,,Vimukthi,LORDS,465,,,Official,,28,,Nisitha Gihan,MATRIX,362,,,Official,,28,,Vimukthi,LORDS,411,,,Official
29,,Isuka,REAPERS,461,,,Official,,29,,Hasitha Lakmal,DRAGONS,352,,,Official,,29,,Razmika,AURA,403,,,Official
30,,Sandun Chinthana,MATRIX,451,,,Official,,30,,Binura Yeshan,GAMERS,344,,,Official,,30,,Sadaru Nimsara,DRAGONS,400,,,Official
31,,Shanuka Nawarathne,LORDS,445,,,Official,,31,,Shanuka Nawarathne,LORDS,341,,,Official,,31,,Sasindu Ashen,REAPERS,400,,,Official
32,,Wathsunu Lankananda,TEARZ,437,,,Official,,32,,Sadaru Nimsara,DRAGONS,325,,,Official,,32,,Rashen Vihanga,DRAGONS,398,,,Official
33,,Sasindu Ashen,REAPERS,434,,,Official,,33,,Milindu Wijenayake,TEARZ,317,,,Official,,33,,Shanuka Nawarathne,LORDS,390,,,Official
34,,Umesh Anjana,REAPERS,432,,,Official,,34,,Yasantha Ruwan,MATRIX,306,,,Official,,34,,Nimesh Dimalsha,LORDS,369,,,Official
35,,Razmika,AURA,412,,,Official,,35,,Rashen Vihanga,DRAGONS,300,,,Official,,35,,Isuka,REAPERS,361,,,Official
36,,Nimesh Dimalsha,LORDS,357,,,Official,,36,,Arqi,TITANS,294,,,Provisional,,36,,Wathsunu Lankananda,TEARZ,313,,,Provisional
37,,Vihanga Kavinda,TEARZ,336,,,Official,,37,,Isuka,REAPERS,283,,,Official,,37,,Yasantha Ruwan,MATRIX,306,,,Official
38,,Yasantha Ruwan,MATRIX,306,,,Official,,38,,Loku,REAPERS,268,,,Provisional,,38,,Arqi,TITANS,290,,,Provisional
39,,Thilanga Dumindu ,GAMERS,293,,,Official,,39,,Thilanga Dumindu ,GAMERS,267,,,Official,,39,,Vihanga Kavinda,TEARZ,280,,,Provisional
40,,Arqi,TITANS,287,,,Provisional,,40,,Vihanga Kavinda,TEARZ,234,,,Provisional,,40,,Thilanga Dumindu ,GAMERS,280,,,Official
41,,Loku,REAPERS,276,,,Provisional,,41,,Wathsunu Lankananda,TEARZ,225,,,Provisional,,41,,Loku,REAPERS,272,,,Provisional
42,,Kavindu Induwara,TITANS,256,,,Provisional,,42,,Kavindu Induwara,TITANS,217,,,Provisional,,42,,Kavindu Induwara,TITANS,236,,,Provisional
