player_id,name,team,innings,runs,wickets,batting_qualified,bowling_qualified,all_rounder_qualified,batting_rating,bowling_rating,all_rounder_rating,batting_recent_form,bowling_recent_form,batting_career_score,bowling_career_score,achievement_score_batting,achievement_score_bowling,experience_score
P001,Sasindu Madushan,MATRIX,73,1107.0,104.0,True,True,True,749.067,664.726,705.638,11.0,4.0,83.213,80.015,100.0,76.327,100
P002,Pasindu Dilshan,MATRIX,76,776.0,67.0,True,True,True,580.815,554.099,567.299,6.0,21.0,61.407,58.301,55.779,49.796,100
P003,Nisitha Gihan,MATRIX,73,836.0,43.0,True,True,True,548.42,361.997,445.563,-3.0,0.0,65.152,47.012,31.658,13.469,100
P004,Sandun Chinthana,MATRIX,40,415.0,25.0,True,True,True,451.013,382.267,415.22,7.0,4.0,44.666,43.768,36.683,25.714,70
P005,Yasantha Ruwan,MATRIX,22,208.0,19.0,True,True,True,305.762,305.539,305.65,0.0,6.0,34.851,37.018,1.508,1.224,30
P006,Yasitha Nawod,TITANS,74,1138.0,78.0,True,True,True,728.468,589.587,655.359,5.0,15.0,84.905,62.468,88.945,66.122,100
P007,Sasiru Ranasinghe,TITANS,66,780.0,82.0,True,True,True,587.596,546.06,566.448,0.0,0.0,64.655,66.028,64.322,57.959,100
P008,Yathish Leyon,TITANS,73,774.0,85.0,True,True,True,592.883,588.862,590.869,-4.0,0.0,62.183,66.915,93.97,77.143,100
P009,Arqi,TITANS,11,81.0,9.0,False,False,False,286.705,293.765,290.214,12.0,4.0,27.136,34.72,5.025,4.082,10
P010,Kavindu Induwara,TITANS,8,64.0,2.0,False,False,False,255.564,217.212,235.609,6.0,0.0,27.513,23.442,0.0,0.0,0
P011,Binura Yeshan,GAMERS,49,855.0,27.0,True,True,True,657.13,343.628,475.193,12.0,0.0,80.578,39.419,48.241,23.265,70
P012,Poorna Kavishka,GAMERS,73,721.0,84.0,True,True,True,537.469,513.529,525.363,4.0,4.0,58.159,66.918,34.673,33.469,100
P013,Rasindu Rathnayake,GAMERS,62,613.0,72.0,True,True,True,540.352,533.355,536.842,11.0,9.0,52.526,64.291,44.724,42.449,100
P014,Sameera Gimhan,GAMERS,63,763.0,54.0,True,True,True,583.9,433.153,502.91,10.0,4.0,62.84,53.782,39.698,26.122,100
P015,Thilanga Dumindu ,GAMERS,26,189.0,10.0,True,True,True,292.791,267.221,279.714,0.0,0.0,32.558,33.444,0.0,0.0,30
P016,Chathuka Lakshan,TEARZ,72,1021.0,89.0,True,True,True,717.795,624.7,669.632,17.0,13.0,78.384,73.303,74.874,59.592,100
P017,Udara Perera,TEARZ,72,774.0,132.0,True,True,True,609.844,778.284,688.935,4.0,12.0,60.272,88.457,96.482,100.0,100
P018,Milindu Wijenayake,TEARZ,57,718.0,28.0,True,True,True,549.343,316.785,417.161,4.0,4.0,62.946,37.692,22.613,8.163,100
P019,Wathsunu Lankananda,TEARZ,25,385.0,8.0,True,False,False,437.149,224.624,313.36,10.0,0.0,53.52,24.925,9.548,0.0,30
P020,Vihanga Kavinda,TEARZ,11,146.0,3.0,True,False,False,336.352,233.617,280.316,0.0,0.0,43.26,25.091,10.05,4.082,10
P021,Chamindu Tishan,DRAGONS,62,571.0,76.0,True,True,True,505.503,500.836,503.164,2.0,7.0,51.559,59.641,41.709,40.816,100
P022,Thulanja Theekshana,DRAGONS,40,419.0,28.0,True,True,True,466.313,362.416,411.096,5.0,2.0,53.348,47.038,14.573,10.612,70
P023,Hasitha Lakmal,DRAGONS,74,1298.0,23.0,True,True,True,791.508,352.47,528.188,16.0,0.0,95.837,40.698,64.322,24.49,100
P024,Rashen Vihanga,DRAGONS,54,593.0,27.0,True,True,True,528.705,299.915,398.204,4.0,0.0,58.617,35.085,23.618,12.245,100
P025,Sadaru Nimsara,DRAGONS,41,571.0,26.0,True,True,True,491.238,325.269,399.731,-4.0,-2.0,61.12,39.723,27.638,16.327,70
P026,Nehan Fernando,AURA,72,768.0,62.0,True,True,True,559.967,459.411,507.203,4.0,6.0,59.744,52.119,49.246,40.408,100
P027,Nimsara Pramod,AURA,71,746.0,60.0,True,True,True,553.837,419.421,481.966,0.0,0.0,63.933,54.252,34.171,24.082,100
P028,Shenal Theekshana,AURA,57,542.0,55.0,True,True,True,467.849,421.259,443.943,-4.0,0.0,49.035,53.966,34.673,25.714,100
P029,Kasun de Silva,AURA,68,887.0,74.0,True,True,True,627.608,507.077,564.133,3.0,-2.0,71.159,64.819,62.814,44.49,100
P030,Razmika,AURA,42,410.0,34.0,True,True,True,412.383,393.275,402.716,0.0,0.0,43.552,50.165,24.623,21.224,70
P031,Kalana Thenuja,LORDS,71,741.0,85.0,True,True,True,580.494,560.091,570.201,10.0,14.0,58.842,64.353,56.281,48.163,100
P032,Shanuka Nawarathne,LORDS,59,422.0,38.0,True,True,True,445.085,340.913,389.532,9.0,0.0,40.702,44.917,14.573,8.163,100
P033,Wenura Sandeepa,LORDS,74,787.0,72.0,True,True,True,576.867,583.433,580.141,0.0,9.0,63.112,69.736,61.307,53.878,100
P034,Nimesh Dimalsha,LORDS,35,309.0,24.0,True,True,True,357.189,381.049,368.926,0.0,0.0,37.82,49.842,18.09,15.918,50
P035,Vimukthi,LORDS,36,502.0,24.0,True,True,True,464.906,363.417,411.041,4.0,0.0,55.657,49.418,24.623,8.163,50
P036,Umesh Anjana,REAPERS,44,342.0,53.0,True,True,True,432.003,508.904,468.879,4.0,4.0,37.94,55.707,60.302,59.184,70
P037,Kaushila Chamika,REAPERS,40,414.0,48.0,True,True,True,476.219,566.888,519.58,4.0,24.0,50.502,60.365,41.709,46.531,70
P038,Isuka,REAPERS,25,387.0,15.0,True,True,True,460.731,282.905,361.031,15.0,0.0,54.835,36.091,11.558,1.224,30
P039,Kanishka Supun,REAPERS,78,979.0,50.0,True,True,True,638.957,430.208,524.294,9.0,4.0,73.045,51.886,46.734,29.388,100
P040,Loku,REAPERS,10,84.0,8.0,False,False,False,276.431,268.162,272.265,2.0,0.0,31.081,31.51,5.025,5.306,10
P041,Sasindu Ashen,REAPERS,49,504.0,35.0,True,True,True,434.186,367.82,399.628,0.0,0.0,48.817,47.687,20.101,14.694,70
P042,Thenu Pabeesha,LORDS,61,898.0,71.0,True,True,True,648.704,547.009,595.69,0.0,0.0,74.263,65.402,77.387,60.0,100
